time,speed,step_frequency,heart_rate
2025-07-15 22:27:09.441557,0.025207756,,
2025-07-15 22:27:11.541525,0.086426592,,
2025-07-15 22:27:13.604240,0.095686584,,
2025-07-15 22:27:15.703897,0.039097744,,
2025-07-15 22:27:17.766270,0.01028888,,
2025-07-15 22:27:19.866916,0.08488326,,
2025-07-15 22:27:21.929324,0.0771666,,
2025-07-15 22:27:24.050089,0.018519984,,
2025-07-15 22:27:26.128723,0.046814404,0.0,
2025-07-15 22:27:28.191107,0.041669964,0.0,
2025-07-15 22:27:30.253563,0.014918876,0.0,
2025-07-15 22:27:32.354144,0.031381084,0.0,
2025-07-15 22:27:34.415894,0.049901068,1.0,
2025-07-15 22:27:36.516017,0.008231104,1.0,
2025-07-15 22:27:38.578313,0.417214084,2.0,
2025-07-15 22:27:40.678352,0.125524336,5.0,
2025-07-15 22:27:42.741266,0.034467748,5.0,
2025-07-15 22:27:44.842796,0.041669964,5.0,
2025-07-15 22:27:46.903634,0.052473288,7.0,
2025-07-15 22:27:49.003580,0.021606648,9.0,
2025-07-15 22:27:51.065786,0.027265532,11.0,
2025-07-15 22:27:53.165518,0.016462208,11.0,
2025-07-15 22:27:55.227974,0.009259992,12.0,
2025-07-15 22:27:57.328308,0.16976652,12.0,
2025-07-15 22:27:59.390397,0.039097744,12.0,
2025-07-15 22:28:01.490077,0.207320932,17.0,
2025-07-15 22:28:03.552884,0.042184408,17.0,
2025-07-15 22:28:05.653229,0.019548872,17.0,
2025-07-15 22:28:07.715300,0.021606648,17.0,
2025-07-15 22:28:09.817300,0.003086664,17.0,
2025-07-15 22:28:11.877898,0.107518796,17.0,
2025-07-15 22:28:13.978216,0.071507716,19.0,
2025-07-15 22:28:16.040053,0.020063316,21.0,
2025-07-15 22:28:18.140458,0.013889988,23.0,
2025-07-15 22:28:20.202544,0.010803324,25.0,
2025-07-15 22:28:22.265167,0.015947764,27.0,
2025-07-15 22:28:24.327964,0.00771666,29.0,
2025-07-15 22:28:26.427679,0.041669964,31.0,
2025-07-15 22:28:28.490592,0.034982192,33.0,
2025-07-15 22:28:30.589795,0.039612188,32.0,
2025-07-15 22:28:32.652246,0.01028888,32.0,
2025-07-15 22:28:34.752352,0.016462208,31.0,
2025-07-15 22:28:36.815347,0.011832212,28.0,
2025-07-15 22:28:38.916917,0.040641076,28.0,
2025-07-15 22:28:40.977385,0.02314998,28.0,
2025-07-15 22:28:43.077793,0.020063316,26.0,
2025-07-15 22:28:45.140090,0.017491096,26.0,
2025-07-15 22:28:47.240158,0.016976652,22.0,
2025-07-15 22:28:49.302206,0.027779976,22.0,
2025-07-15 22:28:51.364744,0.023664424,21.0,
2025-07-15 22:28:53.427046,0.013375544,21.0,
2025-07-15 22:28:55.489732,0.02314998,21.0,
2025-07-15 22:28:57.552426,0.015947764,16.0,
2025-07-15 22:28:59.614916,0.024693312,16.0,
2025-07-15 22:29:01.677150,0.016976652,16.0,
2025-07-15 22:29:03.777508,0.01543332,16.0,
