time,speed,step_frequency,heart_rate
2025-07-15 22:39:37.310339,0.034467748,53,58
2025-07-15 22:39:39.410381,0.0375544119999999,52,54
2025-07-15 22:39:41.473209,0.013889988,47,56
2025-07-15 22:39:43.572930,0.0375544119999999,47,57
2025-07-15 22:39:45.635465,0.034982192,47,62
2025-07-15 22:39:47.735594,0.043213296,46,79
2025-07-15 22:39:49.798158,0.067906608,46,98
2025-07-15 22:39:51.898263,0.0303521959999999,46,88
2025-07-15 22:39:53.974526,0.27522754,46,88
2025-07-15 22:39:56.061020,0.060189948,46,88
2025-07-15 22:39:58.123248,0.0514444,46,88
2025-07-15 22:40:00.223353,0.098258804,41,88
2025-07-15 22:40:02.286023,0.04372774,36,88
2025-07-15 22:40:04.386086,0.043213296,36,88
2025-07-15 22:40:06.448386,0.0303521959999999,34,88
2025-07-15 22:40:08.549140,0.027779976,32,44
2025-07-15 22:40:10.611102,0.073051048,32,40
2025-07-15 22:40:12.711188,0.093114364,30,40
2025-07-15 22:40:14.787559,0.012346656,28,40
2025-07-15 22:40:16.836689,0.02057776,26,40
2025-07-15 22:40:18.899135,0.024178868,21,40
2025-07-15 22:40:20.999147,0.0303521959999999,16,40
2025-07-15 22:40:23.061732,0.062247724,19,40
2025-07-15 22:40:25.161491,0.038068856,19,40
2025-07-15 22:40:27.224305,0.066363276,22,40
2025-07-15 22:40:29.324491,0.076137712,20,40
2025-07-15 22:40:31.386775,0.03343886,18,40
2025-07-15 22:40:33.486718,0.046814404,22,40
2025-07-15 22:40:35.549212,0.026751088,27,40
2025-07-15 22:40:37.649227,0.081796596,32,40
2025-07-15 22:40:39.711722,0.024178868,37,46
2025-07-15 22:40:41.812131,0.075623268,42,125
2025-07-15 22:40:43.874554,0.06173328,46,125
2025-07-15 22:40:45.974728,0.067906608,54,115
2025-07-15 22:40:48.037525,0.018519984,59,100
2025-07-15 22:40:50.137565,0.031381084,64,100
2025-07-15 22:40:52.199909,0.00514444,69,100
2025-07-15 22:40:54.300075,0.022121092,69,78
