time,speed,step_frequency,heart_rate,steps_time_diff_seconds,heart_time_diff_seconds
2025-07-15 22:27:09.441557,0.025207756,0,66,20.474706,230.599479
2025-07-15 22:27:11.541525,0.086426592,0,66,18.374738,228.499511
2025-07-15 22:27:13.604240,0.095686584,0,66,16.312023,226.436796
2025-07-15 22:27:15.703897,0.039097744,0,66,14.212366,224.337139
2025-07-15 22:27:17.766270,0.01028888,0,66,12.149993,222.274766
2025-07-15 22:27:19.866916,0.08488326,0,66,10.049347000000001,220.17412
2025-07-15 22:27:21.929324,0.0771666,0,66,7.986939,218.111712
2025-07-15 22:27:24.050089,0.018519984,0,66,5.866174,215.990947
2025-07-15 22:27:26.128723,0.046814404,0,66,3.78754,213.912313
2025-07-15 22:27:28.191107,0.041669964,0,66,1.7251560000000001,211.849929
2025-07-15 22:27:30.253563,0.014918876,0,66,0.3373,209.787473
2025-07-15 22:27:32.354144,0.031381084,0,66,0.431265,207.686892
2025-07-15 22:27:34.415894,0.049901068,1,66,0.484183,205.625142
2025-07-15 22:27:36.516017,0.008231104,1,66,0.575707,203.525019
2025-07-15 22:27:38.578313,0.417214084,2,66,0.628668,201.462723
2025-07-15 22:27:40.678352,0.125524336,5,66,0.719715,199.362684
2025-07-15 22:27:42.741266,0.034467748,5,66,0.773398,197.29977
2025-07-15 22:27:44.842796,0.041669964,5,66,0.866155,195.19824
2025-07-15 22:27:46.903634,0.052473288,7,66,0.918382,193.137402
2025-07-15 22:27:49.003580,0.021606648,9,66,0.998642,191.037456
2025-07-15 22:27:51.065786,0.027265532,11,66,0.946221,188.97525
2025-07-15 22:27:53.165518,0.016462208,11,66,0.855124,186.875518
2025-07-15 22:27:55.227974,0.009259992,12,66,0.800609,184.813062
2025-07-15 22:27:57.328308,0.16976652,12,66,0.709004,182.712728
2025-07-15 22:27:59.390397,0.039097744,12,66,0.6545989999999999,180.650639
2025-07-15 22:28:01.490077,0.207320932,17,66,0.562497,178.550959
2025-07-15 22:28:03.552884,0.042184408,17,66,0.506235,176.488152
2025-07-15 22:28:05.653229,0.019548872,17,66,0.41227800000000003,174.387807
2025-07-15 22:28:07.715300,0.021606648,17,66,0.359619,172.325736
2025-07-15 22:28:09.817300,0.003086664,17,66,0.26665399999999995,170.223736
2025-07-15 22:28:11.877898,0.107518796,17,66,0.21416999999999997,168.163138
2025-07-15 22:28:13.978216,0.071507716,19,66,0.12148099999999995,166.06282
2025-07-15 22:28:16.040053,0.020063316,21,66,0.067473,164.000983
2025-07-15 22:28:18.140458,0.013889988,23,66,0.024577,161.900578
2025-07-15 22:28:20.202544,0.010803324,25,66,0.078097,159.838492
2025-07-15 22:28:22.265167,0.015947764,27,66,0.131857,157.775869
2025-07-15 22:28:24.327964,0.00771666,29,66,0.186842,155.713072
2025-07-15 22:28:26.427679,0.041669964,31,66,0.277204,153.613357
2025-07-15 22:28:28.490592,0.034982192,33,66,0.331056,151.550444
2025-07-15 22:28:30.589795,0.039612188,32,66,0.423386,149.451241
2025-07-15 22:28:32.652246,0.01028888,32,66,0.480274,147.38879
2025-07-15 22:28:34.752352,0.016462208,31,66,0.572455,145.288684
2025-07-15 22:28:36.815347,0.011832212,28,66,0.627513,143.225689
2025-07-15 22:28:38.916917,0.040641076,28,66,0.721533,141.124119
2025-07-15 22:28:40.977385,0.02314998,28,66,0.774043,139.063651
2025-07-15 22:28:43.077793,0.020063316,26,66,0.866504,136.963243
2025-07-15 22:28:45.140090,0.017491096,26,66,0.921154,134.900946
2025-07-15 22:28:47.240158,0.016976652,22,66,0.996734,132.800878
2025-07-15 22:28:49.302206,0.027779976,22,66,0.944766,130.73883
2025-07-15 22:28:51.364744,0.023664424,21,66,0.890594,128.676292
2025-07-15 22:28:53.427046,0.013375544,21,66,0.836878,126.61399
2025-07-15 22:28:55.489732,0.02314998,21,66,0.7827500000000001,124.551304
2025-07-15 22:28:57.552426,0.015947764,16,66,0.729009,122.48861
2025-07-15 22:28:59.614916,0.024693312,16,66,0.675316,120.42612
2025-07-15 22:29:01.677150,0.016976652,16,66,0.619523,118.363886
2025-07-15 22:29:03.777508,0.01543332,16,66,0.526969,116.263528
