time,heart_rate
2025-07-15 22:31:00.041036,66
2025-07-15 22:31:00.043873,66
2025-07-15 22:31:01.072365,58
2025-07-15 22:31:01.074073,58
2025-07-15 22:31:02.103476,59
2025-07-15 22:31:02.105251,59
2025-07-15 22:31:03.153438,57
2025-07-15 22:31:03.155320,57
2025-07-15 22:31:04.184998,56
2025-07-15 22:31:04.186801,56
2025-07-15 22:31:05.216235,55
2025-07-15 22:31:05.218284,55
2025-07-15 22:31:06.247972,55
2025-07-15 22:31:06.249879,55
2025-07-15 22:31:07.278771,54
2025-07-15 22:31:07.280609,54
2025-07-15 22:31:08.310225,53
2025-07-15 22:31:08.312166,53
2025-07-15 22:31:09.342424,59
2025-07-15 22:31:09.344450,59
2025-07-15 22:31:10.372675,59
2025-07-15 22:31:10.374821,59
2025-07-15 22:31:11.403801,59
2025-07-15 22:31:11.405750,59
2025-07-15 22:31:12.435151,59
2025-07-15 22:31:12.437112,59
2025-07-15 22:31:13.466651,59
2025-07-15 22:31:13.468896,59
2025-07-15 22:31:14.497616,59
2025-07-15 22:31:14.499640,59
2025-07-15 22:31:15.528896,59
2025-07-15 22:31:15.530784,59
2025-07-15 22:31:16.560470,59
2025-07-15 22:31:16.562954,59
2025-07-15 22:31:17.591827,60
2025-07-15 22:31:17.593728,60
2025-07-15 22:31:18.622722,60
2025-07-15 22:31:18.625169,60
2025-07-15 22:31:19.654295,60
2025-07-15 22:31:19.656383,60
2025-07-15 22:31:20.685572,61
2025-07-15 22:31:20.687611,61
2025-07-15 22:31:21.716832,61
2025-07-15 22:31:21.719063,61
2025-07-15 22:31:22.747997,62
2025-07-15 22:31:22.750005,62
2025-07-15 22:31:23.778914,62
2025-07-15 22:31:23.780886,62
2025-07-15 22:31:24.810941,63
2025-07-15 22:31:24.812770,63
2025-07-15 22:31:25.841379,63
2025-07-15 22:31:25.843373,63
2025-07-15 22:31:26.872862,63
2025-07-15 22:31:26.875126,63
2025-07-15 22:31:27.904086,63
2025-07-15 22:31:27.906297,63
2025-07-15 22:31:28.935188,63
2025-07-15 22:31:28.937188,63
2025-07-15 22:31:29.967181,63
2025-07-15 22:31:29.969005,63
2025-07-15 22:31:30.998035,62
2025-07-15 22:31:31.000628,62
2025-07-15 22:31:32.029280,62
2025-07-15 22:31:32.031336,62
2025-07-15 22:31:33.060159,62
2025-07-15 22:31:33.062562,62
2025-07-15 22:31:34.091948,64
2025-07-15 22:31:34.093814,64
2025-07-15 22:31:35.123208,65
2025-07-15 22:31:35.125328,65
2025-07-15 22:31:36.153904,66
2025-07-15 22:31:36.155809,66
2025-07-15 22:31:37.185149,68
2025-07-15 22:31:37.187208,68
2025-07-15 22:31:38.219199,70
2025-07-15 22:31:38.220777,70
2025-07-15 22:31:39.248290,72
2025-07-15 22:31:39.250131,72
2025-07-15 22:31:40.279654,75
2025-07-15 22:31:40.282109,75
2025-07-15 22:31:41.310415,76
2025-07-15 22:31:41.312210,76
2025-07-15 22:31:42.341835,78
2025-07-15 22:31:42.343926,78
2025-07-15 22:31:43.372760,80
2025-07-15 22:31:43.374782,80
2025-07-15 22:31:44.404128,81
2025-07-15 22:31:44.405960,81
2025-07-15 22:31:45.435525,81
2025-07-15 22:31:45.437777,81
2025-07-15 22:31:46.467019,81
2025-07-15 22:31:46.468986,81
2025-07-15 22:31:47.497779,80
2025-07-15 22:31:47.500196,80
2025-07-15 22:31:48.529345,79
2025-07-15 22:31:48.531536,79
2025-07-15 22:31:49.560407,79
2025-07-15 22:31:49.562425,79
2025-07-15 22:31:50.594364,75
2025-07-15 22:31:50.595856,75
2025-07-15 22:31:51.622850,74
2025-07-15 22:31:51.625024,74
2025-07-15 22:31:52.654112,71
2025-07-15 22:31:52.656012,71
2025-07-15 22:31:53.685338,71
2025-07-15 22:31:53.687395,71
2025-07-15 22:31:54.717194,70
2025-07-15 22:31:54.719189,70
2025-07-15 22:31:55.748154,70
2025-07-15 22:31:55.750025,70
2025-07-15 22:31:56.779207,71
2025-07-15 22:31:56.781551,71
2025-07-15 22:31:57.810554,72
2025-07-15 22:31:57.812798,72
2025-07-15 22:31:58.841955,73
2025-07-15 22:31:58.843655,73
2025-07-15 22:31:59.872895,74
2025-07-15 22:31:59.875041,74
2025-07-15 22:32:00.904552,75
2025-07-15 22:32:00.906261,75
2025-07-15 22:32:01.935384,77
2025-07-15 22:32:01.937413,77
2025-07-15 22:32:02.969133,77
2025-07-15 22:32:02.970514,77
2025-07-15 22:32:03.997925,78
2025-07-15 22:32:04.000249,78
2025-07-15 22:32:05.029339,86
2025-07-15 22:32:05.031377,86
2025-07-15 22:32:06.060610,90
2025-07-15 22:32:06.062726,90
2025-07-15 22:32:07.091612,93
2025-07-15 22:32:07.093201,93
2025-07-15 22:32:08.122904,95
2025-07-15 22:32:08.124687,95
2025-07-15 22:32:09.154500,96
2025-07-15 22:32:09.156325,96
2025-07-15 22:32:10.185531,94
2025-07-15 22:32:10.187056,94
2025-07-15 22:32:11.235321,95
2025-07-15 22:32:11.237143,95
2025-07-15 22:32:12.266895,95
2025-07-15 22:32:12.269152,95
2025-07-15 22:32:13.298207,95
2025-07-15 22:32:13.300167,95
2025-07-15 22:32:14.329390,91
2025-07-15 22:32:14.331705,91
2025-07-15 22:32:15.397982,89
2025-07-15 22:32:15.399917,89
2025-07-15 22:32:16.429625,83
2025-07-15 22:32:16.431483,83
2025-07-15 22:32:17.460788,83
2025-07-15 22:32:17.462815,83
2025-07-15 22:32:18.494943,84
2025-07-15 22:32:18.496862,84
2025-07-15 22:32:19.560715,85
2025-07-15 22:32:19.562759,85
2025-07-15 22:32:20.650713,86
2025-07-15 22:32:20.652804,86
2025-07-15 22:32:21.623061,86
2025-07-15 22:32:21.624974,86
2025-07-15 22:32:22.654762,86
2025-07-15 22:32:22.656625,86
2025-07-15 22:32:23.723090,84
2025-07-15 22:32:23.725024,84
2025-07-15 22:32:24.812649,82
2025-07-15 22:32:24.814113,82
2025-07-15 22:32:25.785860,81
2025-07-15 22:32:25.788048,81
2025-07-15 22:32:26.816793,79
2025-07-15 22:32:26.818825,79
2025-07-15 22:32:27.866780,78
2025-07-15 22:32:27.869006,78
2025-07-15 22:32:28.898553,77
2025-07-15 22:32:28.900971,77
2025-07-15 22:32:29.948172,75
2025-07-15 22:32:29.950420,75
2025-07-15 22:32:30.980208,74
