time,x,y,z
2025-07-10 14:48:41.192940,-1,0.164,-0.388
2025-07-10 14:48:41.210334,-1.008,0.168,-0.392
2025-07-10 14:48:41.211664,-1.008,0.168,-0.392
2025-07-10 14:48:41.229067,-1.004,0.172,-0.384
2025-07-10 14:48:41.230365,-1.004,0.172,-0.384
2025-07-10 14:48:41.247830,-1,0.172,-0.404
2025-07-10 14:48:41.249146,-1,0.172,-0.404
2025-07-10 14:48:41.266581,-0.996,0.156,-0.4
2025-07-10 14:48:41.267916,-0.996,0.156,-0.4
2025-07-10 14:48:41.304066,-1.004,0.168,-0.412
2025-07-10 14:48:41.305398,-1.004,0.168,-0.412
2025-07-10 14:48:41.322835,-0.992,0.18,-0.416
2025-07-10 14:48:41.324150,-0.992,0.18,-0.416
2025-07-10 14:48:41.341561,-1.008,0.172,-0.416
2025-07-10 14:48:41.342871,-1.008,0.172,-0.416
2025-07-10 14:48:41.360310,-1.008,0.184,-0.428
2025-07-10 14:48:41.361629,-1.008,0.184,-0.428
2025-07-10 14:48:41.379108,-1.008,0.18,-0.436
2025-07-10 14:48:41.380550,-1.008,0.18,-0.436
2025-07-10 14:48:41.397812,-1.004,0.156,-0.416
2025-07-10 14:48:41.399126,-1.004,0.156,-0.416
2025-07-10 14:48:41.416561,-0.996,0.156,-0.408
2025-07-10 14:48:41.417899,-0.996,0.156,-0.408
2025-07-10 14:48:41.435329,-1.008,0.152,-0.416
2025-07-10 14:48:41.436670,-1.008,0.152,-0.416
2025-07-10 14:48:41.454060,-1,0.136,-0.428
2025-07-10 14:48:41.455368,-1,0.136,-0.428
2025-07-10 14:48:41.472823,-0.992,0.128,-0.432
2025-07-10 14:48:41.474169,-0.992,0.128,-0.432
2025-07-10 14:48:41.491602,-0.992,0.152,-0.448
2025-07-10 14:48:41.492922,-0.992,0.152,-0.448
2025-07-10 14:48:41.510315,-0.988,0.148,-0.456
2025-07-10 14:48:41.511634,-0.988,0.148,-0.456
2025-07-10 14:48:41.529067,-0.984,0.144,-0.452
2025-07-10 14:48:41.530361,-0.984,0.144,-0.452
2025-07-10 14:48:41.547778,-1.004,0.152,-0.444
2025-07-10 14:48:41.549213,-1.004,0.152,-0.444
2025-07-10 14:48:41.566556,-1.004,0.16,-0.456
2025-07-10 14:48:41.568082,-1.004,0.16,-0.456
2025-07-10 14:48:41.604090,-0.996,0.144,-0.452
2025-07-10 14:48:41.605406,-0.996,0.144,-0.452
2025-07-10 14:48:41.622818,-0.992,0.14,-0.44
2025-07-10 14:48:41.624406,-0.992,0.14,-0.44
2025-07-10 14:48:41.641741,-0.984,0.152,-0.448
2025-07-10 14:48:41.643170,-0.984,0.152,-0.448
2025-07-10 14:48:41.660330,-0.972,0.144,-0.44
2025-07-10 14:48:41.661785,-0.972,0.144,-0.44
2025-07-10 14:48:41.679063,-0.972,0.156,-0.436
2025-07-10 14:48:41.680519,-0.972,0.156,-0.436
2025-07-10 14:48:41.697805,-0.972,0.152,-0.448
2025-07-10 14:48:41.699106,-0.972,0.152,-0.448
2025-07-10 14:48:41.717053,-0.96,0.144,-0.444
2025-07-10 14:48:41.718506,-0.96,0.144,-0.444
2025-07-10 14:48:41.739464,-0.964,0.152,-0.432
2025-07-10 14:48:41.740590,-0.964,0.152,-0.432
2025-07-10 14:48:41.754198,-0.964,0.152,-0.436
2025-07-10 14:48:41.755659,-0.964,0.152,-0.436
2025-07-10 14:48:41.772840,-0.952,0.152,-0.444
2025-07-10 14:48:41.774267,-0.952,0.152,-0.444
2025-07-10 14:48:41.791572,-0.944,0.16,-0.44
2025-07-10 14:48:41.793025,-0.944,0.16,-0.44
